,Contract Address,Classification,Detailed Classification,upgradeable_x,upgradeable_y
642,0xdbab64b9669e3290b367a1c261a44323a62a7ae4,Forward proxy,No assignments to var_1 outside the fallback function,0,1
643,0xa9203f3303126243c8d181006ab03b2474e3c084,Forward proxy,No assignments to local4 outside the fallback function,0,1
645,0x56a71fe44d9516646d4719dfbee94076b77b4b12,Not a proxy,No delegatecall found,0,1
653,0x8ebe51a2363fa375d6f5163ec7bbac4a86264aa8,Forward proxy,No assignments to local4 outside the fallback function,0,1
659,0xfca2e82e5414c695c81b99d753b0b11c50bdc93d,Not a proxy,No delegatecall found,0,1
670,0x8f0e3e1f0e1f404f780d6dd11d0a3d9c16b5be01,Not a proxy,No delegatecall found,0,1
700,0x0a24864596c54d79c825e64b281645249c14590c,Not a proxy,No delegatecall found,0,1
706,0x3f78fdcd22930c3b31f2c83d24c9c4bb49403a16,Forward proxy,No assignments to local1 outside the fallback function,0,1
712,0xad7258d0054c03112a4f5489a4b24ec34a2fc787,Not a proxy,No delegatecall found,0,1
724,0x2137ffbbb279218e1a61d4483ded9c9a017e9257,Forward proxy,No assignments to var_1 outside the fallback function,0,1
727,0xc937f5027d47250fa2df8cbf21f6f88e98817845,Upgradeable proxy,Variable libAddress assigned outside the fallback function,1,0
730,0x478539f32a58286fcdfec9f4c07fcd64aed44f68,Forward proxy,No assignments to local1 outside the fallback function,0,1
740,0x4917e9ef69e3a1c82651c9158ca2c25b3a564760,Not a proxy,No delegatecall found,0,1
754,0xf778ec504245efe1ea010c5c3e50b6f5f5e117da,Not a proxy,No delegatecall found,0,1
761,0x1c9491865a1de77c5b6e19d2e6a5f1d7a6f2b25f,Forward proxy,No assignments to var_2 outside the fallback function,0,1
762,0x000000da8006f1db5488089803fa004c53451410,Forward proxy,No assignments to var_1 outside the fallback function,0,1
778,0x6a219c22cb5b05737a7337a306e47dbc6ded5965,Not a proxy,No delegatecall found,0,1
795,0xbfb70cd7e66ec1a2708940abda5824cdcbca9e9b,Forward proxy,No assignments to dforceSplitImplementation outside the fallback function,0,1
804,0x9909d4ab54ef68974bc13f27b8a2c2777239a321,Forward proxy,No assignments to local1 outside the fallback function,0,1
831,0xa6b82e68043ea51514acc9c2cd82b9b06176fa3e,Forward proxy,No assignments to dforceSplitImplementation outside the fallback function,0,1
852,0x71535ad4c7c5925382cdeadc806371cc89a5085d,Forward proxy,No assignments to var_2 outside the fallback function,0,1
856,0xe31a98aa52a5fd60a1c56b8d6fa8469b8c6bcc64,Forward proxy,No assignments to var_1 outside the fallback function,0,1
860,0xf6a6e8dbfdaf43a372c703f02f12cb91d105d537,Upgradeable proxy,Variable local4 assigned outside the fallback function,1,0
878,0xa66d320450fb2c01a2648899f4899a32f04bd369,Upgradeable proxy,Variable local3 assigned outside the fallback function,1,0
884,0xa338adf3fb4a5d23985ff69794bf92de22228105,Forward proxy,No assignments to local1 outside the fallback function,0,1
886,0x6733a09885f6055fef29ffee54077bfb157a3de4,Forward proxy,No assignments to local1 outside the fallback function,0,1
895,0xdca9cd8f76e6a017c0c288af195481cf0cd458fd,Forward proxy,No assignments to local1 outside the fallback function,0,1
910,0xb9fb8a22908c570c09a4dbf5f89b87f9d91fbf4a,Forward proxy,No assignments to var_2 outside the fallback function,0,1
915,0x0387b1f2a43c8b15e55297a170125324c966d239,Not a proxy,No delegatecall found,0,1
920,0x457cd14f384e7d103b17feeb01d2a42ad2eca529,Not a proxy,No delegatecall found,0,1
932,0xc1898eb209903aae3f61d2da97f36af3648d00ce,Forward proxy,No assignments to var_1 outside the fallback function,0,1
938,0xa3de830b5208851539de8e4ff158d635e8f36fcb,Not a proxy,No delegatecall found,0,1
