Contract Address,Classification,Detailed Classification,upgradeable_PROXiFY,upgradeable_SWORD
0xee373b6485ca3a40f2bd6a40405ebb5d2d0c6ba4,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa34c456d7db5b449a84255f2d4dbde8f1ef9e97e,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x4de86f81412fe0a054c5b453365d0de5636dd2b4,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x4b3ef57507c689d1704106a280c3d1bcb21e1ab9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x3350c7843b04d8a0e879d36e8d6d60303c4a82ba,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x9d4193187b247a400e8d8ba716f1c18c0dc65528,Not a proxy,No delegatecall found,0,1
0x50daabcf9d349a8b7b1b343546fd9fd171c1e532,Not a proxy,No delegatecall found,0,1
0xa32ec8db6ba73ee374dfed2dd566a53f6dc23ebe,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x382a1667c9062f0621362f49076ef6e4fe4c9ec7,Upgradeable proxy,Variable getContAdr assigned outside the fallback function,1,1
0xa1d9922dcf52cb15c68bfac7273daa538b766533,Forward proxy,No assignments to masterCopy outside the fallback function,0,0
0x493c57c4763932315a328269e1adad09653b9081,Upgradeable proxy,Variable var_1 assigned outside the fallback function,1,1
0xc17cec7d4a1950bdacc561e78fd7e62118742ebf,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xf616aa8c22f100fc8d479dcfc1bd905b4d6fa591,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xb79be228b1ac262aa96a8b9cd647c25d70f125a4,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x77164825d2867cfd1de17febc970877f9368fed7,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x9c0caeb986c003417d21a7daaf30221d61fc1043,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x163ddb3da1092031e7f2ad26d6c572ab67bb2bdc,Forward proxy,No assignments to var_1 outside the fallback function,0,1
0x502b5525e1508c51af46719d13e5238b83a404e5,Upgradeable proxy,Variable local1 assigned outside the fallback function,1,1
0x08ad1f3a48be1d23c723a6cc8486b247f5de935a,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xd2f69dcd1e26f51fbbce48f61426c724e65acf91,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xe4b7b00a802834bea733f06a0a24a869f2765df7,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
